Frame,Time,X,Y,Z
686,2.28333,168.615,518.995,1014.813
687,2.28666,168.233,518.705,1016.666
688,2.29,167.887,518.321,1018.515
689,2.29333,167.625,517.856,1020.281
690,2.29666,167.33,517.598,1022.148
691,2.3,167.076,517.196,1023.982
692,2.30333,166.707,516.815,1025.843
693,2.30666,166.598,516.392,1027.623
694,2.31,166.2,516.002,1029.475
695,2.31333,165.834,515.594,1031.312
696,2.31666,165.563,515.208,1033.132
697,2.32,165.298,514.693,1034.957
698,2.32333,165.079,514.352,1036.816
699,2.32666,164.814,514.016,1038.607
700,2.33,164.366,513.57,1040.469
701,2.33333,164.191,513.255,1042.176
702,2.33666,163.95,512.835,1044.07
703,2.34,163.589,512.35,1045.943
704,2.34333,163.379,511.91,1047.689
705,2.34666,163.011,511.524,1049.532
706,2.35,162.818,511.098,1051.334
707,2.35333,162.534,510.732,1053.197
708,2.35666,162.284,510.199,1054.997
709,2.36,162.021,509.815,1056.933
710,2.36333,161.69,509.305,1058.636
711,2.36666,161.417,508.859,1060.414
712,2.37,161.218,508.472,1062.396
713,2.37333,160.896,507.955,1064.187
714,2.37666,160.721,507.614,1065.976
715,2.38,160.413,507.073,1067.868
716,2.38333,160.111,506.636,1069.547
717,2.38666,159.87,506.164,1071.401
718,2.39,159.596,505.597,1073.267
719,2.39333,159.368,505.233,1075.158
720,2.39666,159.15,504.736,1076.892
721,2.4,158.823,504.219,1078.727
722,2.40333,158.646,503.664,1080.528
723,2.40666,158.38,503.278,1082.299
724,2.41,158.108,502.763,1084.167
725,2.41333,157.898,502.228,1086.021
726,2.41666,157.673,501.777,1087.831
727,2.42,157.515,501.26,1089.639
728,2.42333,157.238,500.729,1091.562
729,2.42666,156.918,500.262,1093.228
730,2.43,156.76,499.74,1095.04
731,2.43333,156.539,499.259,1096.978
732,2.43666,156.413,498.668,1098.703
733,2.44,156.111,498.257,1100.532
734,2.44333,155.862,497.701,1102.371
735,2.44666,155.745,497.09,1104.252
736,2.45,155.456,496.618,1105.946
737,2.45333,155.328,496.133,1107.721
738,2.45666,155.119,495.583,1109.569
739,2.46,154.93,494.995,1111.356
740,2.46333,154.766,494.456,1113.285
741,2.46666,154.469,493.84,1115.089
742,2.47,154.34,493.402,1116.831
