Frame,Time,X (cm),Y (cm),Z (cm)
776.0,2.58333,22.8551,37.7556,36.0064
777.0,2.58667,22.8273,37.8457,36.1563
778.0,2.59,22.805,37.9325,36.301
779.0,2.59333,22.7822,38.0223,36.4447
780.0,2.59667,22.7604,38.1149,36.5985
781.0,2.6,22.726599999999998,38.22,36.7456
782.0,2.60333,22.7084,38.3027,36.8909
783.0,2.60667,22.680799999999998,38.3874,37.0361
784.0,2.61,22.6535,38.494099999999996,37.2051
785.0,2.61333,22.6362,38.5726,37.3374
786.0,2.61667,22.6109,38.6726,37.4889
787.0,2.62,22.5865,38.763,37.6479
788.0,2.62333,22.553800000000003,38.847699999999996,37.7906
789.0,2.62667,22.537399999999998,38.9522,37.9486
790.0,2.63,22.506899999999998,39.0459,38.0903
791.0,2.63333,22.490000000000002,39.1332,38.2433
792.0,2.63667,22.4673,39.2236,38.4006
793.0,2.64,22.432499999999997,39.3142,38.5428
794.0,2.64333,22.4233,39.4176,38.701499999999996
795.0,2.64667,22.3823,39.5043,38.8561
796.0,2.65,22.365000000000002,39.5989,39.003
797.0,2.65333,22.336000000000002,39.6907,39.1619
798.0,2.65667,22.313,39.7725,39.304700000000004
799.0,2.66,22.2947,39.8729,39.475
800.0,2.66333,22.2669,39.9624,39.616
801.0,2.66667,22.2407,40.0637,39.767700000000005
802.0,2.67,22.2147,40.1485,39.928399999999996
803.0,2.67333,22.185499999999998,40.2404,40.0861
804.0,2.67667,22.1714,40.3311,40.2393
805.0,2.68,22.148,40.423700000000004,40.391000000000005
806.0,2.68333,22.1281,40.5133,40.5461
807.0,2.68667,22.1124,40.6118,40.711200000000005
808.0,2.69,22.077,40.706900000000005,40.8615
809.0,2.69333,22.0609,40.7853,41.0106
810.0,2.69667,22.0309,40.8795,41.1757
811.0,2.7,22.0172,40.9692,41.331900000000005
812.0,2.70333,21.9971,41.0646,41.4841
813.0,2.70667,21.9759,41.1466,41.636700000000005
814.0,2.71,21.9484,41.242399999999996,41.8032
815.0,2.71333,21.9227,41.3269,41.9501
816.0,2.71667,21.9029,41.4222,42.1023
817.0,2.72,21.8815,41.512299999999996,42.267700000000005
818.0,2.72333,21.866300000000003,41.5944,42.425799999999995
819.0,2.72667,21.847,41.6804,42.5752
